type,algorithm,condition,N,V_bytes,K,T_ms
double,MultiThreadedMergeSort,Uniform,1000000,8000080,2999998,49.7439
double,MultiThreadedMergeSort,Normal,1000000,8000080,2999998,46.4586
double,MultiThreadedMergeSort,Best,1000000,8000080,2500000,28.03
double,MultiThreadedHeapSort,Worst,10000,0,640328,1.32692
double,MultiThreadedHeapSort,Uniform,10000,0,607950,1.21619
double,MultiThreadedHeapSort,Normal,10000,0,607978,1.11167
double,MultiThreadedHeapSort,Best,10000,0,576770,0.997291
double,MultiThreadedHeapSort,Worst,20000,0,1377708,2.19075
double,MultiThreadedHeapSort,Uniform,20000,0,1315908,2.11836
double,MultiThreadedHeapSort,Normal,20000,0,1315949,1.84604
double,MultiThreadedHeapSort,Best,20000,0,1256309,1.50329
double,MultiThreadedHeapSort,Worst,50000,0,3775350,4.29692
double,MultiThreadedHeapSort,Uniform,50000,0,3622185,4.70969
double,MultiThreadedHeapSort,Normal,50000,0,3622191,4.28591
double,MultiThreadedHeapSort,Best,50000,0,3462723,3.42188
double,MultiThreadedHeapSort,Worst,100000,0,8065079,7.53625
double,MultiThreadedHeapSort,Uniform,100000,0,7744499,8.44356
double,MultiThreadedHeapSort,Normal,100000,0,7744455,8.42938
double,MultiThreadedHeapSort,Best,100000,0,7418942,6.72042
double,MultiThreadedHeapSort,Worst,200000,0,17124392,15.3929
double,MultiThreadedHeapSort,Uniform,200000,0,16488975,19.005
double,MultiThreadedHeapSort,Normal,200000,0,16488937,925.385
double,MultiThreadedHeapSort,Best,200000,0,15843487,49.1238
double,MultiThreadedHeapSort,Worst,500000,0,45904885,54.8255
double,MultiThreadedHeapSort,Uniform,500000,0,44469522,67.3831
double,MultiThreadedHeapSort,Normal,500000,0,44469130,51.9856
double,MultiThreadedHeapSort,Best,500000,0,42983347,41.111
double,MultiThreadedHeapSort,Worst,1000000,0,97055445,89.1737
double,MultiThreadedHeapSort,Uniform,1000000,0,93938661,115.59
double,MultiThreadedHeapSort,Normal,1000000,0,93939000,114.049
double,MultiThreadedHeapSort,Best,1000000,0,91001660,89.7178
double,MultiThreadedBubbleSort,Worst,10000,0,199980000,212.656
double,MultiThreadedBubbleSort,Uniform,10000,0,124946027,5658.41
=== Done ===
(base) user@MacBook-Air-user Sorting-Algorithms % 
(base) user@MacBook-Air-user Sorting-Algorithms %      ./build/sorting_charts            
QThread: Destroyed while thread '' is still running
zsh: abort      ./build/sorting_charts
(base) user@MacBook-Air-user Sorting-Algorithms % cd /Users/user/uni/10-sem/OS/lab1/Sorting-Algorithms
cmake -B build -DCMAKE_BUILD_TYPE=Release -DCMAKE_PREFIX_PATH="$(brew --prefix qt@6)"
cmake --build build
