type,algorithm,condition,N,V_bytes,K,T_ms
int,RadixSort,Best,100000,2000000,2100000,0.823917
int,RadixSort,Worst,200000,4800000,5000000,2.15008
int,RadixSort,Uniform,200000,4800000,5000000,2.08981
int,RadixSort,Normal,200000,4800000,5000000,2.49762
int,RadixSort,Best,200000,4800000,5000000,2.10475
int,RadixSort,Worst,500000,12000000,12500000,4.68938
int,RadixSort,Uniform,500000,12680000,13180000,5.69885
int,RadixSort,Normal,500000,12000000,12500000,5.70658
int,RadixSort,Best,500000,12000000,12500000,4.89458
int,RadixSort,Worst,1000000,24000000,25000000,10.648
int,RadixSort,Uniform,1000000,28000000,29000000,13.9061
int,RadixSort,Normal,1000000,28000000,29000000,14.3678
int,CountingSort,Worst,10000,80000,30000,0.024083
int,CountingSort,Uniform,10000,119992,30000,0.0282754
int,CountingSort,Normal,10000,85316,30000,0.02935
int,CountingSort,Best,10000,80000,30000,0.018291
int,CountingSort,Worst,20000,160000,60000,0.112541
int,CountingSort,Uniform,20000,239988,60000,0.0749863
int,CountingSort,Normal,20000,173955,60000,0.0456961
int,CountingSort,Best,20000,160000,60000,0.089541
int,CountingSort,Worst,50000,400000,150000,0.222125
int,CountingSort,Uniform,50000,599993,150000,0.175842
int,CountingSort,Normal,50000,442439,150000,0.139616
int,CountingSort,Best,50000,400000,150000,0.10125
int,CountingSort,Worst,100000,800000,300000,0.200667
int,CountingSort,Uniform,100000,1199992,300000,0.392282
int,CountingSort,Normal,100000,895665,300000,0.366857
int,CountingSort,Best,100000,800000,300000,0.243167
int,CountingSort,Worst,200000,1600000,600000,0.473375
int,CountingSort,Uniform,200000,2399991,600000,2.11627
int,CountingSort,Normal,200000,1809615,600000,1.2506
int,CountingSort,Best,200000,1600000,600000,0.688
int,CountingSort,Worst,500000,4000000,1500000,1.9725
int,CountingSort,Uniform,500000,5999990,1500000,3.62365
int,CountingSort,Normal,500000,4578449,1500000,2.70322
int,CountingSort,Best,500000,4000000,1500000,1.21713
int,CountingSort,Worst,1000000,8000000,3000000,2.44279
int,CountingSort,Uniform,1000000,11999992,3000000,4.17168
int,CountingSort,Normal,1000000,9226813,3000000,3.39283
int,CountingSort,Best,1000000,8000000,3000000,1.89225
int,MultiThreadedInsertionSort,Worst,10000,822080,0,610.322
int,MultiThreadedInsertionSort,Uniform,10000,822080,0,13157.3
int,MultiThreadedQuickSort,Worst,10000,112,25012,0.168041
int,MultiThreadedQuickSort,Uniform,10000,112,24763,0.323554
int,MultiThreadedQuickSort,Normal,10000,112,24832,0.301517
